,clean_review,cat_id
0,I am here Lat NUMKEY Lon NUMKEY Alt    ft GPS Sats seen    http Sent via Iridium GO ,0
1,Hi Marmik S has invited you to Connect  Visit http to view his profile and respond now ,0
2,Hi I m using TalkU now  Free calls free messages  Download it from http,0
3,I sent a picture to youget it from http  ,0
4,Please open this link to send me pictures  http,0
5,Hi I m using TalkU now  Free calls free messages  Download it from http,0
6,Come see if you can get         NUMKEY as soon as the next business day  Visit Cash    com nmoW rN Reply STOP to opt out,1
7,Contaxt Complete your funds request  Review your financial offers at tapth at bnfYiNSM Freq  may vary  Reply Stop to Opt Out ,1
8,CarFiDirect Justin auto resources available at http   Reply STOP to optout or INFO for more info,1
9,Hey   I d like to use Step  It is a free bank account and Visa card designed for teens  nCreate your own adult account to unlock my Step Card  http,1
10,GLA Submit request   get up to $ Stop End,1
11,LOT CHART  nHi Mark Are you tired of applying for a loan  nYou ve a GREAT chance to get approved n nPlease visit  bit ly  DPsXFZ n nOpt out reply STOP,1
12,Get a $ cancel,1
13,Hexa Get a Head Start on the Week  Up to  NUMKEY Available for Transfer  n nApply Now      http Stop to end,1
14,    short of our $ http,1
15,REMINDER FOR Bella you STILL have     NEW update about Trump s Social Media to view  Click HERE http Stop End,1
16,DON T IGNORE Lynn Norton  You STILL haven t taken our NUMKEY NATIONWIDE CENSUS to retake Trump s majority  Correct the record http Stop End,1
17,WOW  Don t ignore Trump s PERSONAL message Nenad  We NEED you to step up to save our nation from Biden s presidency http Stop End,1
18,USPS LYNUMKEYCN Expected Delivery by Friday December    NUMKEY Reply STOP to cancel,2
19,DHL Shipment status changed check here   http,2
20,Joann Your package with FedEx has been delivered  Rate your experience http,2
21,Hi   A FIRM is seeking people to become Mystery Shoppers in your area It entails going into stores as an under cover agent to carry out an evaluation of the store and then report back and earn $ thanks ,0
22,Hi Julius nClaimTek Systems is interested in your profile  nHere s what the franchise does nMedical billing franchise n nSound like a fit  Connect now    http  ,0
23,New opportunity Annette F  needs Fence and Gate Repairs in Wadsworth  Reply HELP for help  thmtk com cg gV  u,0
24,Yo Jafari Joji It s Spectacular  Want to partner with me to quickly earn $ ou,0
25,New opportunity Anna Y  needs Handyman in Chapel Hill  View in app thmtk com  Z CllpR on web thmtk com SD ZzauG,0
26,ka sent you a gift through DoorDash  Please refer to this photo your Dasher provided to see where it was dropped off http Enjoy ,3
27,Member from your HOTLIST is Active now  Call          NUMKEY to connect   Text STOP to unsubscribe ,3
